nohup: ignoring input
/scratch/guerbuez/miniconda3/lib/python3.11/site-packages/torchmetrics/utilities/prints.py:43: UserWarning: The variance of predictions or target is close to zero. This can cause instability in Pearson correlationcoefficient, leading to wrong results. Consider re-scaling the input if possible or computing using alarger dtype (currently using torch.float32).
  warnings.warn(*args, **kwargs)  # noqa: B028
Epoch [2/100], Batch [14/147] train loss: 567.01, train corr: -0.03035
Epoch [2/100], Batch [15/147] train loss: 565.80, train corr: -0.03089
Epoch [2/100], Batch [16/147] train loss: 568.59, train corr: -0.02992
Epoch [2/100], Batch [17/147] train loss: 579.96, train corr: -0.02974
Epoch [2/100], Batch [18/147] train loss: 566.23, train corr: -0.03242
Epoch [2/100], Batch [19/147] train loss: 743.17, train corr: -0.02804
Epoch [2/100], Batch [20/147] train loss: 576.42, train corr: -0.03155
Epoch [2/100], Batch [21/147] train loss: 585.71, train corr: -0.03082
Epoch [2/100], Batch [22/147] train loss: 568.39, train corr: -0.03016
Epoch [2/100], Batch [23/147] train loss: 571.43, train corr: -0.03159
Epoch [2/100], Batch [24/147] train loss: 569.19, train corr: -0.03368
Epoch [2/100], Batch [25/147] train loss: 585.48, train corr: -0.03382
Epoch [2/100], Batch [26/147] train loss: 579.87, train corr: -0.03111
Epoch [2/100], Batch [27/147] train loss: 579.83, train corr: -0.03370
Epoch [2/100], Batch [28/147] train loss: 565.27, train corr: -0.03466
Epoch [2/100], Batch [29/147] train loss: 575.74, train corr: -0.03363
Epoch [2/100], Batch [30/147] train loss: 563.03, train corr: -0.03308
Epoch [2/100], Batch [31/147] train loss: 563.98, train corr: -0.03337
Epoch [2/100], Batch [32/147] train loss: 574.09, train corr: -0.03423
Epoch [2/100], Batch [33/147] train loss: 564.47, train corr: -0.03304
Epoch [2/100], Batch [34/147] train loss: 581.64, train corr: -0.03119
Epoch [2/100], Batch [35/147] train loss: 568.80, train corr: -0.03168
Epoch [2/100], Batch [36/147] train loss: 642.39, train corr: -0.02487
Epoch [2/100], Batch [37/147] train loss: 580.17, train corr: -0.03298
Epoch [2/100], Batch [38/147] train loss: 570.86, train corr: -0.03123
Epoch [2/100], Batch [39/147] train loss: 568.91, train corr: -0.02900
Epoch [2/100], Batch [40/147] train loss: 561.45, train corr: -0.02779
Epoch [2/100], Batch [41/147] train loss: 562.59, train corr: -0.02511
Epoch [2/100], Batch [42/147] train loss: 583.58, train corr: -0.02478
Epoch [2/100], Batch [43/147] train loss: 569.28, train corr: -0.01972
Epoch [2/100], Batch [44/147] train loss: 577.81, train corr: -0.01879
Epoch [2/100], Batch [45/147] train loss: 832.23, train corr: -0.01156
Epoch [2/100], Batch [46/147] train loss: 572.76, train corr: -0.02501
Epoch [2/100], Batch [47/147] train loss: 573.33, train corr: -0.03031
Epoch [2/100], Batch [48/147] train loss: 583.42, train corr: -0.03126
Epoch [2/100], Batch [49/147] train loss: 591.17, train corr: -0.02804
Epoch [2/100], Batch [50/147] train loss: 569.64, train corr: -0.03343
Epoch [2/100], Batch [51/147] train loss: 575.09, train corr: -0.03291
Epoch [2/100], Batch [52/147] train loss: 609.51, train corr: -0.02935
Epoch [2/100], Batch [53/147] train loss: 558.06, train corr: -0.03157
Epoch [2/100], Batch [54/147] train loss: 572.62, train corr: -0.02935
Epoch [2/100], Batch [55/147] train loss: 571.97, train corr: -0.02556
Epoch [2/100], Batch [56/147] train loss: 570.99, train corr: -0.02165
Epoch [2/100], Batch [57/147] train loss: 569.50, train corr: -0.02188
Epoch [2/100], Batch [58/147] train loss: 575.77, train corr: -0.02164
Epoch [2/100], Batch [59/147] train loss: 571.00, train corr: -0.02414
Epoch [2/100], Batch [60/147] train loss: 567.02, train corr: -0.02369
Epoch [2/100], Batch [61/147] train loss: 562.34, train corr: -0.02724
Epoch [2/100], Batch [62/147] train loss: 563.45, train corr: -0.02866
Epoch [2/100], Batch [63/147] train loss: 560.60, train corr: -0.03163
Epoch [2/100], Batch [64/147] train loss: 572.57, train corr: -0.03266
Epoch [2/100], Batch [65/147] train loss: 556.83, train corr: -0.03252
Epoch [2/100], Batch [66/147] train loss: 566.02, train corr: -0.03323
Epoch [2/100], Batch [67/147] train loss: 560.74, train corr: -0.03219
Epoch [2/100], Batch [68/147] train loss: 573.01, train corr: -0.03184
Epoch [2/100], Batch [69/147] train loss: 564.04, train corr: -0.03072
Epoch [2/100], Batch [70/147] train loss: 563.85, train corr: -0.02708
Epoch [2/100], Batch [71/147] train loss: 561.70, train corr: -0.02654
Epoch [2/100], Batch [72/147] train loss: 581.79, train corr: -0.02720
Epoch [2/100], Batch [73/147] train loss: 575.51, train corr: -0.02626
Epoch [2/100], Batch [74/147] train loss: 579.49, train corr: -0.02822
Epoch [2/100], Batch [75/147] train loss: 556.13, train corr: -0.02641
Epoch [2/100], Batch [76/147] train loss: 573.93, train corr: -0.02850
Epoch [2/100], Batch [77/147] train loss: 565.86, train corr: -0.02816
Epoch [2/100], Batch [78/147] train loss: 572.35, train corr: -0.02811
Epoch [2/100], Batch [79/147] train loss: 552.97, train corr: -0.02705
Epoch [2/100], Batch [80/147] train loss: 556.53, train corr: -0.02638
Epoch [2/100], Batch [81/147] train loss: 563.31, train corr: -0.02788
Epoch [2/100], Batch [82/147] train loss: 564.84, train corr: -0.02789
Epoch [2/100], Batch [83/147] train loss: 572.26, train corr: -0.02834
Epoch [2/100], Batch [84/147] train loss: 561.55, train corr: -0.02967
Epoch [2/100], Batch [85/147] train loss: 556.11, train corr: -0.02971
Epoch [2/100], Batch [86/147] train loss: 560.69, train corr: -0.03021
Epoch [2/100], Batch [87/147] train loss: 569.04, train corr: -0.02924
Epoch [2/100], Batch [88/147] train loss: 570.34, train corr: -0.02866
Epoch [2/100], Batch [89/147] train loss: 570.02, train corr: -0.03021
Epoch [2/100], Batch [90/147] train loss: 569.18, train corr: -0.02834
Epoch [2/100], Batch [91/147] train loss: 576.02, train corr: -0.03091
Epoch [2/100], Batch [92/147] train loss: 582.89, train corr: -0.02717
Epoch [2/100], Batch [93/147] train loss: 572.39, train corr: -0.02949
Epoch [2/100], Batch [94/147] train loss: 586.43, train corr: -0.02951
Epoch [2/100], Batch [95/147] train loss: 573.27, train corr: -0.02934
Epoch [2/100], Batch [96/147] train loss: 563.95, train corr: -0.02968
Epoch [2/100], Batch [97/147] train loss: 572.70, train corr: -0.03025
Epoch [2/100], Batch [98/147] train loss: 559.78, train corr: -0.03071
Epoch [2/100], Batch [99/147] train loss: 577.14, train corr: -0.03081
Epoch [2/100], Batch [100/147] train loss: 570.41, train corr: -0.02790
Epoch [2/100], Batch [101/147] train loss: 590.03, train corr: -0.02850
Epoch [2/100], Batch [102/147] train loss: 556.98, train corr: -0.03200
Epoch [2/100], Batch [103/147] train loss: 576.23, train corr: -0.03188
Epoch [2/100], Batch [104/147] train loss: 568.87, train corr: -0.03175
Epoch [2/100], Batch [105/147] train loss: 564.39, train corr: -0.03239
Epoch [2/100], Batch [106/147] train loss: 553.13, train corr: -0.03272
Epoch [2/100], Batch [107/147] train loss: 566.58, train corr: -0.03223
Epoch [2/100], Batch [108/147] train loss: 569.20, train corr: -0.03302
Epoch [2/100], Batch [109/147] train loss: 561.40, train corr: -0.03399
Epoch [2/100], Batch [110/147] train loss: 568.04, train corr: -0.03306
Epoch [2/100], Batch [111/147] train loss: 574.37, train corr: -0.02933
Epoch [2/100], Batch [112/147] train loss: 572.56, train corr: -0.03342
Epoch [2/100], Batch [113/147] train loss: 563.86, train corr: -0.03216
Epoch [2/100], Batch [114/147] train loss: 561.61, train corr: -0.03273
Epoch [2/100], Batch [115/147] train loss: 556.51, train corr: -0.03036
Epoch [2/100], Batch [116/147] train loss: 579.10, train corr: -0.03127
Epoch [2/100], Batch [117/147] train loss: 552.29, train corr: -0.03234
Epoch [2/100], Batch [118/147] train loss: 554.43, train corr: -0.03308
Epoch [2/100], Batch [119/147] train loss: 581.38, train corr: -0.03291
Epoch [2/100], Batch [120/147] train loss: 548.03, train corr: -0.03306
Epoch [2/100], Batch [121/147] train loss: 581.56, train corr: -0.03077
Epoch [2/100], Batch [122/147] train loss: 555.36, train corr: -0.03311
Epoch [2/100], Batch [123/147] train loss: 561.94, train corr: -0.03265
Epoch [2/100], Batch [124/147] train loss: 569.43, train corr: -0.03219
Epoch [2/100], Batch [125/147] train loss: 568.55, train corr: -0.03307
Epoch [2/100], Batch [126/147] train loss: 570.47, train corr: -0.03281
Epoch [2/100], Batch [127/147] train loss: 554.03, train corr: -0.03244
Epoch [2/100], Batch [128/147] train loss: 632.93, train corr: -0.02811
Epoch [2/100], Batch [129/147] train loss: 584.34, train corr: -0.03208
Epoch [2/100], Batch [130/147] train loss: 569.69, train corr: -0.03228
Epoch [2/100], Batch [131/147] train loss: 573.07, train corr: -0.02867
Epoch [2/100], Batch [132/147] train loss: 583.91, train corr: -0.03047
Epoch [2/100], Batch [133/147] train loss: 568.45, train corr: -0.03081
Epoch [2/100], Batch [134/147] train loss: 561.03, train corr: -0.03195
Epoch [2/100], Batch [135/147] train loss: 562.45, train corr: -0.03245
Epoch [2/100], Batch [136/147] train loss: 578.83, train corr: -0.03002
Epoch [2/100], Batch [137/147] train loss: 569.54, train corr: -0.03099
Epoch [2/100], Batch [138/147] train loss: 574.06, train corr: -0.03032
Epoch [2/100], Batch [139/147] train loss: 572.54, train corr: -0.02663
Epoch [2/100], Batch [140/147] train loss: 558.21, train corr: -0.03120
Epoch [2/100], Batch [141/147] train loss: 574.42, train corr: -0.03224
Epoch [2/100], Batch [142/147] train loss: 558.17, train corr: -0.03112
Epoch [2/100], Batch [143/147] train loss: 570.36, train corr: -0.02989
Epoch [2/100], Batch [144/147] train loss: 547.96, train corr: -0.02980
Epoch [2/100], Batch [145/147] train loss: 560.96, train corr: -0.03119
Epoch [2/100], Batch [146/147] train loss: 557.84, train corr: -0.03085
Epoch [2/100], Batch [147/147] train loss: 561.81, train corr: -0.02956
Epoch [2/100], validation loss: 597.91, validation correlation: -0.03082
Epoch [3/100], Batch [1/147] train loss: 580.29, train corr: -0.02745
Epoch [3/100], Batch [2/147] train loss: 580.54, train corr: -0.02824
Epoch [3/100], Batch [3/147] train loss: 566.71, train corr: -0.02802
Epoch [3/100], Batch [4/147] train loss: 566.63, train corr: -0.02921
Epoch [3/100], Batch [5/147] train loss: 558.44, train corr: -0.03137
Epoch [3/100], Batch [6/147] train loss: 579.23, train corr: -0.02906
Epoch [3/100], Batch [7/147] train loss: 565.87, train corr: -0.02804
Epoch [3/100], Batch [8/147] train loss: 569.01, train corr: -0.02607
Epoch [3/100], Batch [9/147] train loss: 563.75, train corr: -0.03015
Epoch [3/100], Batch [10/147] train loss: 572.15, train corr: -0.02898
Epoch [3/100], Batch [11/147] train loss: 569.86, train corr: -0.02883
Epoch [3/100], Batch [12/147] train loss: 566.91, train corr: -0.02980
Epoch [3/100], Batch [13/147] train loss: 575.35, train corr: -0.02969
Epoch [3/100], Batch [14/147] train loss: 571.71, train corr: -0.02797
Epoch [3/100], Batch [15/147] train loss: 558.48, train corr: -0.03052
Epoch [3/100], Batch [16/147] train loss: 563.33, train corr: -0.02855
Epoch [3/100], Batch [17/147] train loss: 584.68, train corr: -0.02455
Epoch [3/100], Batch [18/147] train loss: 565.43, train corr: -0.02862
Epoch [3/100], Batch [19/147] train loss: 578.68, train corr: -0.02759
Epoch [3/100], Batch [20/147] train loss: 576.68, train corr: -0.02818
Epoch [3/100], Batch [21/147] train loss: 575.70, train corr: -0.03084
Epoch [3/100], Batch [22/147] train loss: 553.68, train corr: -0.02935
Epoch [3/100], Batch [23/147] train loss: 570.35, train corr: -0.02998
Epoch [3/100], Batch [24/147] train loss: 571.19, train corr: -0.03139
Epoch [3/100], Batch [25/147] train loss: 579.54, train corr: -0.03140
Epoch [3/100], Batch [26/147] train loss: 561.07, train corr: -0.03113
Epoch [3/100], Batch [27/147] train loss: 558.02, train corr: -0.03002
Epoch [3/100], Batch [28/147] train loss: 569.40, train corr: -0.03101
Epoch [3/100], Batch [29/147] train loss: 568.15, train corr: -0.03178
Epoch [3/100], Batch [30/147] train loss: 561.97, train corr: -0.03121
Epoch [3/100], Batch [31/147] train loss: 568.07, train corr: -0.03216
Epoch [3/100], Batch [32/147] train loss: 573.98, train corr: -0.03073
Epoch [3/100], Batch [33/147] train loss: 567.40, train corr: -0.03106
Epoch [3/100], Batch [34/147] train loss: 569.15, train corr: -0.03216
Epoch [3/100], Batch [35/147] train loss: 555.83, train corr: -0.03273
Epoch [3/100], Batch [36/147] train loss: 549.80, train corr: -0.03217
Epoch [3/100], Batch [37/147] train loss: 565.53, train corr: -0.03072
Epoch [3/100], Batch [38/147] train loss: 557.87, train corr: -0.03192
Epoch [3/100], Batch [39/147] train loss: 565.78, train corr: -0.03260
Epoch [3/100], Batch [40/147] train loss: 568.98, train corr: -0.03333
Epoch [3/100], Batch [41/147] train loss: 566.28, train corr: -0.03226
Epoch [3/100], Batch [42/147] train loss: 647.53, train corr: -0.02692
Epoch [3/100], Batch [43/147] train loss: 587.43, train corr: -0.03095
Epoch [3/100], Batch [44/147] train loss: 567.51, train corr: -0.03392
Epoch [3/100], Batch [45/147] train loss: 566.50, train corr: -0.03131
Epoch [3/100], Batch [46/147] train loss: 576.24, train corr: -0.02975
Epoch [3/100], Batch [47/147] train loss: 557.70, train corr: -0.02818
Epoch [3/100], Batch [48/147] train loss: 555.77, train corr: -0.02856
Epoch [3/100], Batch [49/147] train loss: 563.84, train corr: -0.02755
Epoch [3/100], Batch [50/147] train loss: 569.65, train corr: -0.02790
Epoch [3/100], Batch [51/147] train loss: 575.18, train corr: -0.02743
Epoch [3/100], Batch [52/147] train loss: 575.93, train corr: -0.02619
Epoch [3/100], Batch [53/147] train loss: 572.60, train corr: -0.02735
Epoch [3/100], Batch [54/147] train loss: 567.12, train corr: -0.02702
Epoch [3/100], Batch [55/147] train loss: 799.60, train corr: -0.02176
Epoch [3/100], Batch [56/147] train loss: 566.14, train corr: -0.02959
Epoch [3/100], Batch [57/147] train loss: 582.33, train corr: -0.02953
Epoch [3/100], Batch [58/147] train loss: 580.39, train corr: -0.02765
Epoch [3/100], Batch [59/147] train loss: 579.54, train corr: -0.02844
Epoch [3/100], Batch [60/147] train loss: 563.29, train corr: -0.03328
Epoch [3/100], Batch [61/147] train loss: 586.70, train corr: -0.03270
Epoch [3/100], Batch [62/147] train loss: 563.98, train corr: -0.02712
Epoch [3/100], Batch [63/147] train loss: 546.66, train corr: -0.00559
Epoch [3/100], Batch [64/147] train loss: 565.23, train corr: -0.00044
Epoch [3/100], Batch [65/147] train loss: 577.94, train corr: 0.00062
Epoch [3/100], Batch [66/147] train loss: 569.60, train corr: 0.00241
Epoch [3/100], Batch [67/147] train loss: 556.63, train corr: 0.00496
Epoch [3/100], Batch [68/147] train loss: 568.22, train corr: -0.00127
Epoch [3/100], Batch [69/147] train loss: 562.59, train corr: -0.00852
Epoch [3/100], Batch [70/147] train loss: 587.32, train corr: -0.01967
Epoch [3/100], Batch [71/147] train loss: 562.67, train corr: -0.03209
Epoch [3/100], Batch [72/147] train loss: 562.58, train corr: -0.03515
Epoch [3/100], Batch [73/147] train loss: 582.84, train corr: -0.03300
Epoch [3/100], Batch [74/147] train loss: 576.24, train corr: -0.03085
Epoch [3/100], Batch [75/147] train loss: 567.99, train corr: -0.03136
Epoch [3/100], Batch [76/147] train loss: 563.40, train corr: -0.02893
Epoch [3/100], Batch [77/147] train loss: 558.04, train corr: -0.02591
Epoch [3/100], Batch [78/147] train loss: 557.07, train corr: -0.02453
Epoch [3/100], Batch [79/147] train loss: 551.39, train corr: -0.02402
Epoch [3/100], Batch [80/147] train loss: 571.51, train corr: -0.02569
Epoch [3/100], Batch [81/147] train loss: 566.14, train corr: -0.02552
